index,날짜,번호,앨범번호,앨범이름,가수,노래제목,장르,좋아요,태그
825799,20210706,825799,65738,At Her Very Best,Nana Mouskouri,Over And Over (Roule S'Enroule),월드뮤직,"1,104",#유럽 #추억을 #올드 #샹송
837567,20210706,837567,301886,Difference,윤도현,사랑했나봐,록/메탈,"85,911",#2000년 #싸이월드 #이별 #그리움
837773,20210706,837773,301916,Time To Fly,김길중,사랑했지만,록/메탈,"37,954",#새벽 #발라드
838112,20210706,838112,301976,BoA Best Of Soul,보아 (BoA),La La La Love Song (BoA w／z SOUL'd OUT) (Bonus Track),J-POP,"4,756",#사랑 #썸 #드라이브 #행복
838825,20210706,838825,302044,Love Punch,Otsuka Ai,さくらんぼ / Sakuranbo (앵두) (Original),J-POP,"17,603",#틱톡 #감성 #팝송 #상쾌한
841004,20210706,841004,302352,염불시리즈 1 (예불 - 천수경),범철스님,천수경,종교음악,404,#민요 #찬불가 #국악
841007,20210706,841007,302352,염불시리즈 1 (예불 - 천수경),범철스님,화엄경약찬게,종교음악,57,#찬불가
841010,20210706,841010,302352,염불시리즈 1 (예불 - 천수경),범철스님,우리말반야심경,종교음악,87,
842115,20210706,842115,302507,X&Y,Coldplay,Fix You,록/메탈,"85,301",#매장음악 #카페 #휴식 #힐링
844268,20210706,844268,302749,짠짜라,장윤정,꽃,트로트,"11,531",#성인가요 #미스터트롯 #트로트
844269,20210706,844269,302749,짠짜라,장윤정,사랑아,트로트,"13,947",#성인가요 #미스터트롯 #트로트
845586,20210706,845586,302961,His Story,MC몽,I Love U Oh Thank U (Feat. 김태우 Of God),랩/힙합,"35,852",#2000년 #싸이월드 #추억 #노래방
871471,20210706,871471,67438,If Dreams Come True,Eddie Higgins Trio,Shinjuku Twilight,재즈,"12,499",#보사노바 #재즈 #분위기
884532,20210706,884532,305064,The Best Of Don McLean,Don McLean,Vincent,포크/블루스/컨트리,"14,928",#하트시그널 #로맨틱 #하트시그널BGM #올드팝
896242,20210706,896242,306248,We 3 (투니버스 만화영화 주제가 Best),버즈,활주 ('나루토' 여는 노래),어린이/태교,"13,896",#2000년 #싸이월드 #숨듣명 #노동요
896246,20210706,896246,306248,We 3 (투니버스 만화영화 주제가 Best),이용신,나의 마음을 담아 ('달빛천사' 여는노래),어린이/태교,"20,646",#2000년 #싸이월드 #OST #애니
903618,20210706,903618,307099,그 나라가 임하도록,갓등 중창단,하느님 당신은 나의 모든 것,종교음악,464,#종교음악 #휴식 #가톨릭음악 #기분전환
903651,20210706,903651,307101,김선호(루가) 신부의 창작 생활 성가집 - 하느님 이들이,갓등 중창단,하늘의 태양은 못 되더라도,종교음악,437,#가톨릭음악 #CCM #종교음악
925993,20210706,925993,307544,어노인팅 5집,어노인팅,온 맘 다해 (With All My Heart),CCM,"5,034",#국내ccm #에센셜 #CCM탑백 #CCM
932131,20210706,932131,308223,Daniel Powter,Daniel Powter,Bad Day,록/메탈,"29,903",#팝 #힐링 #휴식
978754,20210706,978754,308679,오리엔탈 무드 오브 가야금,숙명 가야금 연주단,첨밀밀,국악,233,#흥겨운 #국악 #퓨전국악 #국악탑백
1008495,20210706,1008495,310414,사랑은 가슴이 시킨다,버즈,사랑은 가슴이 시킨다,록/메탈,"26,654",#2000년 #싸이월드 #인기가요 #2000년대
1030601,20210706,1030601,311136,Curtain Call: The Hits (Deluxe Edition),Eminem,"Lose Yourself (From ""8 Mile"" Soundtrack)",랩/힙합,"19,728",#추억 #힙합 #노래방 #랩
1030855,20210706,1030855,311164,I LOVE CCM (아이러브씨씨엠) 1집,소향,오직 주만이,CCM,"4,716",#ccm모음 #CCM탑백 #CCM #익숙한
1047561,20210706,1047561,311488,김광석 Best,김광석,서른 즈음에,포크/블루스,"34,103",#기분전환 #발라드
1047566,20210706,1047566,311488,김광석 Best,김광석,너무 아픈 사랑은 사랑이 아니었음을,포크/블루스,"44,220",#추억 #노래방 #발라드
1075133,20210706,1075133,311846,Let It Be,숙명 가야금 연주단,Let It Be,국악,828,#뉴에이지 #국악 #국악탑백
1083892,20210706,1083892,312059,The Essential Kenny G,Kenny G,Loving You,재즈,"4,066",#카페음악 #가을 #뉴에이지
1093692,20210706,1093692,312880,궁 OST,"하울 , 제이",Perhaps Love (사랑인가요),OST,"67,586",#2000년 #싸이월드 #인기가요 #2000년대
1108787,20210706,1108787,313844,Our Song 2 - Face To Face,마커스,감사함으로,CCM,"5,169",#ccm모음 #CCM탑백 #CCM #익숙한
1110769,20210706,1110769,314006,Quelqu'un M'a Dit,Carla Bruni,Quelqu'un m'a dit,월드뮤직,"3,824",#팝 #휴식 #잔잔한
1110771,20210706,1110771,314006,Quelqu'un M'a Dit,Carla Bruni,Tout le monde,월드뮤직,992,#힐링 #락 #휴식
1110776,20210706,1110776,314006,Quelqu'un M'a Dit,Carla Bruni,Le plus beau du quartier,월드뮤직,"10,145",#분위기 #카페 #봄
1110779,20210706,1110779,314006,Quelqu'un M'a Dit,Carla Bruni,L'amour,월드뮤직,"1,953",#겨울 #차분 #휴식 #잔잔한
1116915,20210706,1116915,314511,아멜리에 (Amelie from Montmartre) OST,Frehel,Si Tu N'Etais Pas La,월드뮤직,152,#로파이 #재즈 #프렌치팝 #영화음악
1121217,20210706,1121217,314804,Moida Band 1st,모이다밴드,Chocolate Drive,재즈,"18,888",#노래추천 #잔잔 #발라드
1135461,20210706,1135461,315871,Debut,Toki Asako,It's A Short Life (CF - 디오스 유기농 특선실 고현정편),재즈,"1,405",#팝 #카페 #Jazz #편안하게
1137108,20210706,1137108,315981,Special Story,야다 (Yada),이미 슬픈 사랑,록/메탈,"48,106",#2000년 #싸이월드 #발라드
1139663,20210706,1139663,316202,내 발을 씻기신 예수,갓등 중창단,내 발을 씻기신 예수,종교음악,260,#가톨릭음악 #CCM #종교음악
1139741,20210706,1139741,316209,The 3rd Masterpiece,SG 워너비,내사람 : Partner For Life,R&B/Soul,"23,248",#2000년 #싸이월드 #추억 #2000년대
1177471,20210706,1177471,317113,Perfect,버즈,My Love (And),록/메탈,"45,360",#2000년 #싸이월드 #이별 #그리움
1177472,20210706,1177472,317113,Perfect,버즈,은인,록/메탈,"42,277",#2000년 #싸이월드 #추억 #회상
1177475,20210706,1177475,317113,Perfect,버즈,남자를 몰라,록/메탈,"86,164",#2000년 #싸이월드 #발라드
1189032,20210706,1189032,317720,대한민국 불교 음악 기행,범철스님,관세음보살정근,종교음악,208,#찬불가 #불교음악 #종교
1189034,20210706,1189034,317720,대한민국 불교 음악 기행,범철스님,천수경,종교음악,477,#찬불가 #불교음악 #종교
1189035,20210706,1189035,317720,대한민국 불교 음악 기행,성수스님 (성주암),반야심경,종교음악,907,#사랑 #겨울 #스트레스 #휴식
1189419,20210706,1189419,317745,So Sick,Ne-Yo,So Sick,R&B/Soul,"37,322",#팝 #추억 #묘니3
1190919,20210706,1190919,317871,가야금 연주자 이슬기 Vol.2 (In The Green Cafe),이슬기,Happiness,국악,669,#흥겨운 #이별 #퓨전국악 #슬픔
1199196,20210706,1199196,318607,숙명가야금연주단 베스트컬렉션 2006 For You,숙명 가야금 연주단,Hey Jude,국악,352,#뉴에이지 #국악 #국악탑백
1199198,20210706,1199198,318607,숙명가야금연주단 베스트컬렉션 2006 For You,숙명 가야금 연주단,Let It Be,국악,521,#뉴에이지 #국악 #국악탑백
1199207,20210706,1199207,318607,숙명가야금연주단 베스트컬렉션 2006 For You,숙명 가야금 연주단,비발디 사계 중 '겨울 2악장',국악,318,#클래식 #국악 #왈츠 #크로스오버
1199208,20210706,1199208,318607,숙명가야금연주단 베스트컬렉션 2006 For You,숙명 가야금 연주단,캐논변주곡 All For One,국악,"3,063",#흥겨운 #퓨전국악 #휴식 #잔잔한
1267316,20210706,1267316,320750,Liszt : Piano Sonata In B Minor (Horowitz),Vladimir Horowitz,쇼팽 - 에튀드 4번,클래식,"1,065",#일할때 #클래식 #playlist3 #노동요
1268352,20210706,1268352,320887,아름다운 드라이브 클래식,,쇼팽 - 녹턴,클래식,"8,625",#클래식 #집중 #명곡
1271752,20210706,1271752,321306,The Unforgettable Nat King Cole,Nat King Cole,L-O-V-E,재즈,"5,503",#팝 #크리스마스 #연말 #기분전환
1313885,20210706,1313885,322242,The Eternal Dance,"Earth, Wind & Fire",September,R&B/Soul,"23,459",#팝 #추억 #랩몬스터 #방탄소년단
1316266,20210706,1316266,322596,Miracle Generation,천관웅,밀알,CCM,"8,640",#국내ccm #에센셜 #CCM탑백 #CCM
1325050,20210706,1325050,322845,거북이 사요!!,거북이,비행기,댄스,"77,617",#2000년 #싸이월드 #감성 #팝송
1366458,20210706,1366458,324357,Catching Tales,Jamie Cullum,Mind Trick,재즈,"9,269",#가을 #Jazz #휴식 #힐링
1374406,20210706,1374406,325951,YG Family 10주년 기념 앨범 'YG 10TH',빅마마,여자,R&B/Soul,"3,986",#감성 #명품 #발라드
1419256,20210706,1419256,326896,Continuum,John Mayer,Gravity,록/메탈,"21,565",#하트시그널 #까페 #하트시그널BGM #잔잔한
1419260,20210706,1419260,326896,Continuum,John Mayer,Slow Dancing In A Burning Room,록/메탈,"7,687",#팝 #여유 #서정적
1467722,20210706,1467722,328396,The Ballads,성시경,거리에서,발라드,"108,207",#2000년 #싸이월드 #추억 #2000년대
1469342,20210706,1469342,328509,For The People,빅마마,연,R&B/Soul,"51,158",#2000년 #싸이월드 #이별 #그리움
1479152,20210706,1479152,329663,Once Again,John Legend,P.D.A. (We Just Don't Care),R&B/Soul,"73,322",#팝 #매장음악 #카페
1491168,20210706,1491168,331535,9,Damien Rice,9 Crimes,포크/블루스/컨트리,"29,756",#힐링 #락 #휴식
1500196,20210706,1500196,332658,The Precious History,SG 워너비,내사람,R&B/Soul,"66,072",#추억의 #싸이월드 #인기가요 #2000년대
1506353,20210706,1506353,333341,Stop The Clocks (The Best Of Oasis),Oasis,Don't Look Back In Anger,록/메탈,"18,151",#팝 #감성 #기분전환 #팝송
1515502,20210706,1515502,334471,A Girl Meets Bossanova 2,Olivia Ong,L - O - V - E,재즈,"15,087",#팝 #까페 #잔잔한
1521180,20210706,1521180,335460,Whispers Of Love,더 넛츠 (The NuTs),잔소리,록/메탈,"26,861",#2000년 #싸이월드 #추억 #2000년대
1521268,20210706,1521268,335473,교육용 클래식 2,,라 캄파넬라,클래식,"1,722",#뉴에이지 #일할때 #bgm #노동요
