index,날짜,번호,앨범번호,앨범이름,가수,가수번호,노래제목,장르,좋아요,태그
32944335,20210706,32944335,10494235,4.5,10CM,468244,Tight,포크/블루스,"24,516",#차트역주행 #발라드 #1위못했지만 #감성
32947184,20210706,32947184,10494790,Bad Boy,"청하 , Christopher",792215 968265,Bad Boy,POP,"70,232",#팝탑백 #음색 #팝 #팝송
32955025,20210706,32955025,10496490,식구,김호중,720018,남은 것은 당신뿐,트로트,"13,310",#김호중 #트로트 #김호중노래
32955381,20210706,32955381,10496604,밤하늘의 저 별처럼 (브람스를 좋아하세요? OST 스페셜 트랙),"헤이즈 (Heize) , 펀치 (Punch)",749640 751611,밤하늘의 저 별처럼,"R&B/Soul, 국내드라마","36,396",#ost탑백 #감성 #까페 #OST
32957555,20210706,32957555,10497163,뽀로로와 노래해요 NEW1,뽀로로,1703695,예쁜 아기 곰,어린이/태교,491,#동요 #인기동요
32961285,20210706,32961285,10497938,영화같게,기리보이,585492,우리서로사랑하지는말자,랩/힙합,"63,931",#감성힙합 #취향저격 #감성 #노래가사
32961716,20210706,32961716,10498032,THE ALBUM,BLACKPINK,995169,Pretty Savage,랩/힙합,"67,344",#블랙핑크 #BLACKPINK #노래모음 #추천
32961718,20210706,32961718,10498032,THE ALBUM,BLACKPINK,995169,Lovesick Girls,댄스,"192,332",#걸그룹 #회상 #좋아요10만 #기분전환
32962170,20210706,32962170,10498102,클래식으로 듣는 디즈니,Royal Philharmonic Orchestra,100538,I See The Light (라푼젤 OST),클래식,194,#디즈니OST #princess #픽사 #공주
32962258,20210706,32962258,10498123,Savage Love (Laxed - Siren Beat) [BTS Remix],"Jason Derulo , Jawsh 685 , 방탄소년단",672375 432140 2868396,Savage Love (Laxed - Siren Beat) (BTS Remix),POP,"176,347",#회상 #좋아요10만 #팝탑백 #팝
32962945,20210706,32962945,10498259,Levitating (feat. DaBaby),Dua Lipa,889721,Levitating (feat. DaBaby),POP,"33,009",#멜로너 #Pop #빌보드
32974285,20210706,32974285,10488883,love + everything else,John K,2640909,cheap sunglasses,POP,"43,177",#이별 #그리움 #감성 #팝송
32978341,20210706,32978341,10501191,DON'T TOUCH ME,환불원정대,2895619,DON'T TOUCH ME,댄스,"160,201",#회상 #좋아요10만 #스트레스 #운동
32984344,20210706,32984344,10502531,homura,LiSA,659952,homura,J-POP,"13,577",#OST #애니 #일본애니 #애니메이션OST
32993141,20210706,32993141,10504101,Ashes,Stellar,2896736,Ashes,POP,"33,078",#매력적인 #감성 #팝송 #남자보컬
32994202,20210706,32994202,10504315,사랑의 콜센타 PART27,임영웅,994944,어느날 문득,트로트,"24,668",#트로트 #임영웅 #미스터트롯
32996063,20210706,32996063,10504702,Lonely,"benny blanco , Justin Bieber",2240003 420621,Lonely,POP,"27,326",#감각적인 #드라이브 #휴식 #감성
32996439,20210706,32996439,10504823,열일곱이Day 17,열일곱이다,2635200,엄마의 기도가 하늘에 닿으면,종교음악,88,#가톨릭성가 #생활성가
32998018,20210706,32998018,10505118,힘든 건 사랑이 아니다,임창정,1142,힘든 건 사랑이 아니다,발라드,"105,682",#회상 #발라드 #좋아요10만 #감성
32998020,20210706,32998020,10505118,힘든 건 사랑이 아니다,임창정,1142,소확행,발라드,"47,169",#발라드 #휴식 #발라드탑백 #힐링
32999763,20210706,32999763,10505425,with HER,Crush,674710,놓아줘 (with 태연),R&B/Soul,"54,320",#잔잔 #카페 #잔잔한 #노래추천
32999765,20210706,32999765,10505425,with HER,Crush,674710,춤 (with 이소라),재즈,"10,093",#Crush #크러쉬 #재즈탑백 #재즈
33001615,20210706,33001615,10505819,Twelve [Special Edition],IZ*ONE (아이즈원),2398653,Beware,J-POP,"10,975",#틱톡 #TikTok #Jpop탑백
33001672,20210706,33001672,10505830,딩가딩가 (Dingga),마마무 (Mamamoo),750053,딩가딩가 (Dingga),댄스,"66,112",#댄스 #스트레스 #운동 #댄스탑백
33002813,20210706,33002813,10506084,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),175155,"사랑 못해, 남들 쉽게 다 하는 거",발라드,"35,021",#이별 #발라드 #그리움 #발라드탑백
33002970,20210706,33002970,10506112,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,1758374,Forever After All,포크/블루스/컨트리,672,#매장음악 #드라이브 #Pop #빌보드
33003232,20210706,33003232,10506206,Lil Bit,"Nelly , Florida Georgia Line",2066 691751,Lil Bit,포크/블루스/컨트리,459,#저녁 #드라이브 #Pop #빌보드
33011180,20210706,33011180,10507546,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,771375,나랑 같이 걸을래 (바른연애 길잡이 X 적재),"발라드, 인디음악","105,676",#카페 #달달 #사랑 #인디
33013681,20210706,33013681,10508214,불후의 명곡 – 전설을 노래하다 (2020 국악인 특집),서도밴드(sEODo BAND),2898232,강강술래,국악,91,#국악 #퓨전국악 #국악탑백
33013683,20210706,33013683,10508214,불후의 명곡 – 전설을 노래하다 (2020 국악인 특집),김태연,2860640,춘향가 + 엄마아리랑,국악,382,#트로트 #관광할때 #국악 #국악탑백
33013877,20210706,33013877,10508266,잠이 오질 않네요,장범준,648551,잠이 오질 않네요,발라드,"142,014",#회상 #좋아요10만 #기분전환 #봄
33014783,20210706,33014783,10508494,Hindenburg Lover,Anson Seabra,2567864,Hindenburg Lover,포크/블루스/컨트리,"2,393",#때껄룩 #조용한 #잔잔한 #감성
33015127,20210706,33015127,10508527,That's Us,Anson Seabra,2567864,That's Us,포크/블루스/컨트리,"4,600",#비 #그루브 #느낌있는 #팝
33015135,20210706,33015135,10508535,Trying My Best,Anson Seabra,2567864,Trying My Best,포크/블루스/컨트리,"2,927",#이별 #포근한 #따뜻한 #슬픔
33016659,20210706,33016659,10508930,Eyes wide open,TWICE (트와이스),905701,I CAN’T STOP ME,댄스,"62,955",#댄스 #아이돌 #스트레스 #운동
33018509,20210706,33018509,10509323,Summer Is for Falling in Love,Sarah Kang,2877153,Summer Is for Falling in Love,재즈,"6,290",#카페 #휴일 #커피 #집콕
33027337,20210706,33027337,10511210,안돼요 (Never ever),홍진영,418700,안돼요,트로트,"6,555",#트로트 #성인음악탑백 #성인가요
33029109,20210706,33029109,10511553,TAKE,MINO (송민호),742773,도망가,랩/힙합,"50,508",#힙합 #드라이브 #감성 #국내힙합
33029346,20210706,33029346,10511598,Positions,Ariana Grande,597451,34+35,POP,"48,457",#편집샵 #믿듣선 #가사를읽다 #힙한
33029358,20210706,33029358,10511598,Positions,Ariana Grande,597451,pov,POP,"33,267",#비 #팝 #Pop #빌보드
33036660,20210706,33036660,10513079,HERO,임영웅,994944,HERO,트로트,"59,418",#트로트 #임영웅 #미스터트롯
33038236,20210706,33038236,10513384,무가,송순단,2900218,안당,국악,698,#국악 #송가인 #송순단 #국악탑백
33038237,20210706,33038237,10513384,무가,송순단,2900218,손님굿,국악,684,#국악 #송가인 #송순단 #국악탑백
33038238,20210706,33038238,10513384,무가,송순단,2900218,만조상해원경,국악,651,#국악 #송가인 #송순단 #국악탑백
33038239,20210706,33038239,10513384,무가,송순단,2900218,희설,국악,643,#국악 #송가인 #송순단 #국악탑백
