,날짜,번호,제목,가수,장르,앨범이름,좋아요,플레이리스트,노래_태그,멜론DJ,플레이리스트_번호
0,20210706,31399722,오아시스 (Oasis),EXO,,DON'T MESS UP MY TEMPO - The 5th Album,"87,920",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,30919067,Baby Don't Stop,NCT U,,NCT 2018 EMPATHY,"43,957",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31189089,MOONWALKER,세븐틴,,SEVENTEEN 5TH MINI ALBUM 'YOU MAKE MY DAY',"41,609",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32941077,UNTOUCHABLE,EVERGLOW (에버글로우),,-77.82X-78.29,"1,099",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32543384,Children,BVNDIT (밴디트),,Children,"1,416",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31934966,Long Flight,태용 (TAEYONG),,Long Flight - SM STATION,"20,523",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31754582,HOT,TWICE (트와이스),,FANCY YOU,"9,482",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32593123,Cool,BVNDIT (밴디트),,Carnival,194,편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32748914,Jelly,레드벨벳-아이린&슬기,,Monster - The 1st Mini Album,"12,459",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31943385,Imagine,CIX (씨아이엑스),,"CIX 1st EP ALBUM 'HELLO' Chapter 1. Hello, Stranger","7,898",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33253494,Cinema,CIX (씨아이엑스),,"CIX 4th EP Album ‘HELLO’ Chapter Ø. Hello, Strange Dream","8,992",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32941078,GxxD BOY,EVERGLOW (에버글로우),,-77.82X-78.29,633,편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,31641746,I Wanna Be (Feat. 소연 of (여자)아이들),키 (KEY),,I Wanna Be - The 1st Album Repackage,"20,670",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,32620701,R U Ridin'?,백현 (BAEKHYUN),,Delight - The 2nd Mini Album,"58,286",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33159390,Cheese (치즈),라붐 (LABOUM),,Cheese (치즈),"1,055",편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33020304,SHADUBIDU,JBJ95,,JASMIN,743,편집샵에서 흘러나오는 세련된 케이팝,#편집샵 #케이팝 #플레이스트 #트렌디 #세련된 #내가좋아하는노래 #비트 #감각적,celette,495200485
0,20210706,33644708,Love,homezone,,Love,344,NEW 귓가에 속삭여 주는 듯이 기분 좋은 음악,#퇴근길 #잔잔한어쿠스틱 #아침 #잔잔한 #카페 #매장음악 #노동요 #오후 #휴식 #모닝콜,Hido.T,449661474
0,20210706,33624513,"House party (Feat. Ashley Alisha, Sonny Zero)",뎁트,,Summer Blue,"1,351",NEW 귓가에 속삭여 주는 듯이 기분 좋은 음악,#퇴근길 #잔잔한어쿠스틱 #아침 #잔잔한 #카페 #매장음악 #노동요 #오후 #휴식 #모닝콜,Hido.T,449661474
0,20210706,33529652,Tree (feat. Eily),lofi,,Tree,456,NEW 귓가에 속삭여 주는 듯이 기분 좋은 음악,#퇴근길 #잔잔한어쿠스틱 #아침 #잔잔한 #카페 #매장음악 #노동요 #오후 #휴식 #모닝콜,Hido.T,449661474
0,20210706,33628732,Sometimes,네이비쿼카 (NavyQuokka),,Sometimes,124,NEW 귓가에 속삭여 주는 듯이 기분 좋은 음악,#퇴근길 #잔잔한어쿠스틱 #아침 #잔잔한 #카페 #매장음악 #노동요 #오후 #휴식 #모닝콜,Hido.T,449661474
0,20210706,33642566,SCENE,cott (콧),,SCENE,267,NEW 귓가에 속삭여 주는 듯이 기분 좋은 음악,#퇴근길 #잔잔한어쿠스틱 #아침 #잔잔한 #카페 #매장음악 #노동요 #오후 #휴식 #모닝콜,Hido.T,449661474
0,20210706,33227630,Little Demon,Cand:ce (캔디스),,Little Demon,201,NEW 귓가에 속삭여 주는 듯이 기분 좋은 음악,#퇴근길 #잔잔한어쿠스틱 #아침 #잔잔한 #카페 #매장음악 #노동요 #오후 #휴식 #모닝콜,Hido.T,449661474
0,20210706,33592010,우린 이미,김뮤지엄 (KIMMUSEUM),,"알고있지만, OST Part.1","6,937",NEW 귓가에 속삭여 주는 듯이 기분 좋은 음악,#퇴근길 #잔잔한어쿠스틱 #아침 #잔잔한 #카페 #매장음악 #노동요 #오후 #휴식 #모닝콜,Hido.T,449661474
