,날짜,번호,제목,가수,장르,앨범이름,좋아요
0,20210704,33589488,비와 당신,이무진,국내종합,슬기로운 의사생활 시즌2 OST Part 1,"46,177"
0,20210704,33527705,안녕 (Hello),조이 (JOY),국내종합,안녕 (Hello) - Special Album,"81,657"
0,20210704,32860397,운전만해 (We Ride),브레이브걸스,국내종합,We Ride,"122,322"
0,20210704,32872978,Dynamite,방탄소년단,국내종합,Dynamite (DayTime Version),"414,053"
0,20210704,33239419,Celebrity,아이유,국내종합,IU 5th Album 'LILAC',"290,567"
0,20210704,33510307,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",국내종합,MSG워너비 TOP 8 경연곡,"52,903"
0,20210704,33618271,하루만 더,빅마마,국내종합,하루만 더,"20,792"
0,20210704,33359725,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,국내종합,사이렌 Remix,"91,569"
0,20210704,",1944399",Timeless,SG 워너비,국내종합,Sg Wanna Be+,"94,635"
0,20210704,33632153,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),국내종합,비 오는 날 듣기 좋은 노래,"25,722"
0,20210704,",8130796",상상더하기,라붐 (LABOUM),국내종합,Fresh Adventure,"110,889"
0,20210704,",3414749",내 손을 잡아,아이유,국내종합,최고의 사랑 OST Part.4,"158,053"
0,20210704,33315511,멜로디,ASH ISLAND,국내종합,멜로디,"92,503"
0,20210704,33167063,밝게 빛나는 별이 되어 비춰줄게,송이한,국내종합,밝게 빛나는 별이 되어 비춰줄게,"83,090"
0,20210704,33645879,러브(Prod.로코베리),로꼬,국내종합,Love(Prod.Rocoberry),"11,725"
0,20210704,33061995,밤하늘의 별을(2020),경서,국내종합,밤하늘의 별을(2020),"155,785"
0,20210704,",1854856",라라라,SG 워너비,국내종합,My Friend,"79,476"
0,20210704,33447280,마.피.아. In the morning,ITZY (있지),국내종합,GUESS WHO,"54,810"
0,20210704,33331004,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,국내종합,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","94,555"
0,20210704,32961718,Lovesick Girls,BLACKPINK,국내종합,THE ALBUM,"192,164"
0,20210704,33013877,잠이 오질 않네요,장범준,국내종합,잠이 오질 않네요,"141,815"
0,20210704,32559782,Dolphin,오마이걸 (OH MY GIRL),국내종합,NONSTOP,"185,711"
0,20210704,32578498,에잇(Prod.&Feat. SUGA of BTS),아이유,국내종합,에잇,"361,586"
0,20210704,33372783,Coin,아이유,국내종합,IU 5th Album 'LILAC',"95,697"
0,20210704,33248758,추억은 만남보다 이별에 남아,정동하,국내종합,추억은 만남보다 이별에 남아,"47,883"
0,20210704,32794652,취기를 빌려 (취향저격 그녀 X 산들),산들,국내종합,취기를 빌려 (취향저격 그녀 X 산들),"194,577"
0,20210704,32183386,Blueming,아이유,국내종합,Love poem,"311,009"
0,20210704,",1500196",내사람,SG 워너비,국내종합,The Precious History,"65,930"
